"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"362","Palmeria dolei","Akohekohe",10102,"Fringillidae","Passeriformes","AVIBASE-A643D860",4,2,2,0,4,22.5,16.9,5.3,6.3,31.9,91.5,23.9,67.6,26.1,72.2,26.1,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Insessorial",20.69,20.8,20.76,-156.18,57.85,22720855,5,1,1,1,0,0,0,1,0,0,0,0,1,0,-6.758515256,-1.239863757,-0.276661039,-1.768226475,1.5,4.583319376,-0.376082823,3.17117117117117
"363","Mohoua ochrocephala","Yellowhead",6240,"Mohouidae","Passeriformes","AVIBASE-F84E1C1E",4,2,2,0,4,14.1,8.1,3.6,5.1,30.9,80.5,15.5,65,19.3,73.8,27.7,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Invertivore","Insessorial",-46.5,-41.01,-45.19,167.84,16919.77,22705397,4,1,1,1,0,0,0,0,0,0,0,0,0,0,-1.08013067,-1.180366658,-0.321805747,-0.146557964,3,4.590866342,-0.363068912,44.1531531531532
"364","Porphyrio hochstetteri","South Island Takahe",1867,"Rallidae","Gruiformes","AVIBASE-6001C6A8",2,1,0,1,2,71.2,42.7,15.2,39.3,95.8,232.5,30.5,202,13.3,107,2462.2,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Omnivore","Terrestrial",-45.51,-36.59,-45.22,167.7,670.74,22692808,4,1,0,1,0,0,0,1,0,0,0,0,1,0,-4.307987129,3.307011467,0.302012042,-1.227670305,2,4.599985562,-0.347343821,3.01801801801802
"365","Vanellus senegallus","Wattled Lapwing",2414,"Charadriidae","Charadriiformes","AVIBASE-074251A3",5,2,3,0,4,36.3,18.7,6,6.5,83.5,225.2,85.6,137.1,38.5,97.4,248,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Aquatic predator","Terrestrial",-30.02,17.96,-0.22,19.29,11259086.33,22694027,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.42031732,1.011629675,0.272052372,-0.362780432,2.8,4.603682633,-0.34096863,19.3558558558559
"366","Aviceda leuphotes","Black Baza",2985,"Accipitridae","Accipitriformes","AVIBASE-139A5705",5,2,3,0,4,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,"Dunning",NA,"NO",NA,NA,0,2,3,"Carnivore","Invertivore","Insessorial",8.56,33.35,23.21,103.96,3528791.57,22694964,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.26009733,0.766059088,0.29421432,-0.470891666,2.7,4.61691884,-0.318144249,28.2567567567568
"367","Neophema pulchella","Turquoise Parrot",4335,"Psittacidae","Psittaciformes","AVIBASE-6F2C5E7B",5,0,3,2,4,13.1,10.2,7.3,13,14,108.6,51.1,58.6,46.5,98.2,41.4,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Omnivore","Insessorial",-38.06,-25.76,-32.38,148.84,492396.14,22685209,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.29067012,-0.77851819,-0.206481537,1.626466274,4.64,4.624655298,-0.304803579,32.1261261261261
"368","Gymnorhinus cyanocephalus","Pinyon Jay",7019,"Corvidae","Passeriformes","AVIBASE-A6905B3C",9,2,7,0,4,37.9,23.8,8.3,8.8,37.7,147.8,39.2,107.8,26.6,106.2,104.8,"Dunning",NA,"NO",NA,NA,0,2,2,"Omnivore","Omnivore","Generalist",30.16,46.72,39.05,-111.57,1284048.89,22705608,3,1,1,0,0,0,0,0,0,1,0,0,1,0,3.24916013,0.150254701,-0.045602213,0.739954155,3.82,4.625597206,-0.303179362,13.2117117117117
"369","Vanellus gregarius","Sociable Lapwing",2423,"Charadriidae","Charadriiformes","AVIBASE-D348C2D6",5,2,3,0,4,34.4,17.6,4.6,5.5,60.9,200.2,97.3,100.5,49.2,80.4,224.5,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Terrestrial",44.13,54.45,50.31,68.33,1077682.03,22694053,5,1,1,0,0,0,0,1,0,1,1,0,1,0,3.07395431,0.912076636,0.169450762,0.50210944,3.6,4.640798805,-0.276965879,6.25225225225225
"370","Cyanolimnas cerverai","Zapata Rail",1823,"Rallidae","Gruiformes","AVIBASE-F7E6722E",5,4,1,0,5,40.3,21.8,4.2,8.2,42.2,102.6,10.3,92.3,10,43.2,175,"EltonTraits_Model",NA,"NO",NA,NA,0,2,1,"Carnivore","Aquatic predator","Terrestrial",22.3,22.57,22.44,-81.39,1003.79,22692737,5,1,0,1,0,0,0,1,0,1,0,0,0,0,-3.904830595,0.662986903,-0.231105924,NA,NA,4.64294426,-0.273266278,5.30630630630631
"371","Trichoglossus johnstoniae","Mindanao Lorikeet",4399,"Psittacidae","Psittaciformes","AVIBASE-C164958E",10,4,6,0,8,17.1,14.2,8.8,14.3,14.4,106.1,46,60.1,43.3,66.3,55.2,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Insessorial",5.81,8.91,7.32,124.74,8694.55,22684559,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.745917038,-0.490836118,-0.216741698,-1.227670305,2,4.65878621,-0.245948581,1.27477477477477
"372","Acanthiza pusilla","Brown Thornbill",6224,"Acanthizidae","Passeriformes","AVIBASE-8F6C8E9E",17,5,12,0,4,11.2,5.3,2.1,2.6,18.7,51.8,7.6,44.1,14.6,43.4,7.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-43.64,-20,-32.24,147.72,1131818.69,22704630,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.12296765,-2.473650824,-0.439592395,-0.470891666,2.7,4.669792334,-0.226969732,8.88738738738739
"373","Pyrrhura caeruleiceps","Perija Parakeet",4223,"Psittacidae","Psittaciformes","AVIBASE-FA4A412F",5,2,3,0,3,18.7,15,9.1,16.3,14.5,119,46.1,73,38.7,121.2,62.1,"DataFromSplit",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",7.8,11.18,9.51,-73.04,21647.5,45422600,4,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.833723457,-0.373053082,-0.163799268,NA,NA,4.679973209,-0.209413935,2.70720720720721
"374","Falco subbuteo","Eurasian Hobby",4061,"Falconidae","Falconiformes","AVIBASE-E91E287A",9,4,5,0,4,17.9,12.4,10.4,11.8,31.7,260.7,150.2,110,57.8,129.2,208.2,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Aerial",20.23,66.73,50.34,78.26,28255832.68,22696460,1,0,1,1,0,1,1,1,1,0,1,0,0,0,6.34044175,0.836700085,0.417746658,-0.146557964,3,4.690670653,-0.190967371,9.61261261261261
"375","Falco eleonorae","Eleonora's Falcon",4055,"Falconidae","Falconiformes","AVIBASE-9EA1F12D",8,4,4,0,4,22.1,15.4,10.6,12.9,33.1,311.9,171.5,140.4,55,160.5,390,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Omnivore","Aerial",29.03,44.69,37.38,16.66,121952.48,22696442,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0.89501803,1.464347668,0.627874756,-0.687114134,2.5,4.752090902,-0.085054917,4.67117117117117
"376","Tringa ochropus","Green Sandpiper",2529,"Scolopacidae","Charadriiformes","AVIBASE-A7B17EFC",6,2,3,1,4,37.4,27.6,2.7,4.1,32.9,137.8,63.2,74.8,45.8,59.5,71.4,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",38.94,69.47,57.64,82.39,15230538.62,22693243,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.72244438,-0.233501202,-0.086642857,0.934554376,4,4.753713181,-0.082257475,15.7927927927928
"377","Vini peruviana","Blue Lorikeet",4361,"Psittacidae","Psittaciformes","AVIBASE-9EBC0AD1",5,1,1,3,4,14.2,10,6.6,8.9,14.2,107.6,49.1,56.9,46.4,66.6,29,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Insessorial",-16.57,-14.9,-15.3,-148.17,58.62,22684641,3,1,1,1,1,0,0,0,0,0,0,0,1,0,-6.745292775,-1.134503241,-0.210585602,-1.227670305,2,4.775060549,-0.045446291,30.1306306306306
"378","Heteromyias albispecularis","Ashy Robin",7157,"Petroicidae","Passeriformes","AVIBASE-1A2A03C3",6,3,2,1,6,18.6,10.8,4.9,5.7,32,90.3,18.4,71.9,20.5,61.3,36.3,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-3.98,-0.45,-1.36,133.9,12665.39,103753407,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.369740355,-0.90998133,-0.281585916,-1.768226475,1.5,4.778208217,-0.040018484,8.52702702702703
"379","Circus melanoleucos","Pied Harrier",3082,"Accipitridae","Accipitriformes","AVIBASE-1EA96AE1",5,2,3,0,4,29.9,15.5,9.4,13.1,72.5,352.6,179.8,176.5,50.5,214,336.3,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Vertivore","Aerial",25.99,54.28,49.1,122.04,1811211.65,22695402,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.59313789,1.316204548,0.794910177,1.475110547,4.5,4.779149828,-0.03839478,5
"380","Corvus kubaryi","Mariana Crow",7008,"Corvidae","Passeriformes","AVIBASE-1EF8429F",10,2,5,3,5,55.2,37.7,13.3,18.3,52.5,226.4,63,170.3,27,157.6,249.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",14.11,14.2,14.16,145.22,92.35,22705959,5,1,1,1,1,0,0,1,0,0,0,0,1,0,-6.290783003,1.019261767,0.276977249,-0.146557964,3,4.784556879,-0.029070916,9.62612612612613
"381","Botaurus poiciloptilus","Australasian Bittern",2201,"Ardeidae","Pelecaniformes","AVIBASE-F18D7DF7",5,0,2,3,4,72.4,50.3,10.8,16.5,96.7,320.4,96.1,221.4,30.3,109.4,1083.7,"Dunning",NA,"NO",NA,NA,0,1,2,"Carnivore","Omnivore","Terrestrial",-46.68,-20.09,-34.28,146.99,1425382.93,22697353,4,1,1,0,0,0,1,1,0,1,0,0,1,0,3.35358235,2.48633732,0.662759303,1.745388632,4.75,4.788542285,-0.022198522,1.47142857142857
"382","Synthliboramphus wumizusume","Japanese Murrelet",2701,"Alcidae","Charadriiformes","AVIBASE-A332A7CE",4,2,1,1,4,23.4,13.4,5,7.4,24,120.2,59.5,60.8,49.5,50,198,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Aquatic",29.67,41.82,34.63,134.76,571030.78,22694899,3,1,0,1,0,0,0,1,0,0,1,0,0,0,2.43882968,0.78646796,-0.15887439,-1.227670305,2,4.794461003,-0.011992345,3.03153153153153
"383","Tanygnathus lucionensis","Blue-naped Parrot",4466,"Psittacidae","Psittaciformes","AVIBASE-9A1856F5",4,1,3,0,4,33.3,30.6,18.6,31.8,20.5,181.8,80.2,101.5,44.2,113.8,215,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",1.77,18.65,11.72,122.9,290862.98,22685009,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1.76423887,0.868838957,0.093935977,NA,NA,4.806965105,0.009569602,3.12612612612613
"384","Ocyceros griseus","Malabar Grey Hornbill",3302,"Bucerotidae","Bucerotiformes","AVIBASE-2BE24F91",6,2,4,0,4,99.1,88,25.1,32.3,41.4,206,34.8,174.8,16.6,226.2,292,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Frugivore","Insessorial",8.52,20.4,14.6,75.3,230760.93,22682421,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1.53276881,1.174954731,0.193254336,0.393998206,3.5,4.814765999,0.023021384,16.2612612612613
"385","Ocyceros birostris","Indian Grey Hornbill",3301,"Bucerotidae","Bucerotiformes","AVIBASE-FD5AD57F",9,5,4,0,4,97,80,22.5,29.1,47.6,212.3,43.8,160.5,21.4,258.3,375,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Frugivore","Insessorial",8.88,32.85,21.41,79.19,2062731.9,22682429,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3.72317312,1.425126955,0.219109941,-0.687114134,2.5,4.840293445,0.067040653,20.7117117117117
"386","Epimachus fastosus","Black Sicklebill",7075,"Paradisaeidae","Passeriformes","AVIBASE-7F57334C",10,2,8,0,4,75.1,59.5,8.1,10.2,50.1,189.2,26.6,163,14.1,585.4,232.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-6.9,-0.42,-4.79,140.72,80656.88,22706151,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.48159068,0.948810106,0.124306054,NA,NA,4.866598648,0.112401078,2.3963963963964
"387","Hydrornis caeruleus","Giant Pitta",4522,"Pittidae","Passeriformes","AVIBASE-B8FF6A4A",5,2,3,0,4,40.1,24.9,10.3,13.3,52.7,145,16.7,129.1,11.4,54.6,202,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",-5.72,14.06,4.58,110.18,357016.42,22698614,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1.96916834,0.806468626,-0.057093593,NA,NA,4.872166825,0.122002786,4.05855855855856
"388","Campephilus gayaquilensis","Guayaquil Woodpecker",3797,"Picidae","Piciformes","AVIBASE-D0DF9B45",4,3,1,0,4,46.3,35.2,12.3,12.1,32.2,178.2,39.1,139.1,22,122.2,241.2,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-7.1,2.7,-1.82,-79.66,125111.24,22681408,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.92058983,0.983827394,0.079161345,NA,NA,4.881394593,0.137915055,2.53603603603604
"389","Pseudobulweria macgillivrayi","Fiji Petrel",2124,"Procellariidae","Procellariiformes","AVIBASE-54D9B4DB",1,0,1,0,1,30.2,19,6.6,8.2,36.4,204,124,80,60.8,82,143,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Aquatic",-19.62,-15.8,-17.81,115.68,146910.59,22697935,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1.08121074,0.461045559,0.185046207,NA,NA,4.886437083,0.146610274,1.4009009009009
"390","Egretta ardesiaca","Black Heron",2253,"Ardeidae","Pelecaniformes","AVIBASE-74853F89",5,2,3,0,4,68.8,57.6,8.4,10.3,80.4,245.2,50.5,189,21.1,87.6,324,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Aquatic predator","Terrestrial",-31.66,17.8,-6.39,27.6,8505004.79,22696926,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.13979664,1.278944445,0.35413366,-0.492513913,2.68,4.911087375,0.189116987,48.3063063063063
"391","Tringa erythropus","Spotted Redshank",2535,"Scolopacidae","Charadriiformes","AVIBASE-0895DD84",5,2,3,0,4,63,50.4,4.1,5.7,57.2,163.4,83,80.5,50.8,63.4,158,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",61.03,74.53,68.35,105.22,3716042.92,22693207,1,0,0,0,0,0,0,1,0,1,0,0,1,0,4.31180122,0.560795962,0.018421192,0.934554376,4,4.913234085,0.192818752,14.6261261261261
"392","Thinornis novaeseelandiae","Shore Plover",2400,"Charadriidae","Charadriiformes","AVIBASE-2F5B5D5B",5,2,3,0,4,26.6,16.3,2.9,3.9,22.3,117.4,58.2,58.1,50,59.8,61,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Terrestrial",-44.36,-44.26,-44.31,-176.23,3.89,22693899,4,1,1,1,0,0,0,0,1,0,0,0,1,0,-9.457959552,-0.390925207,-0.170365771,11.63756655,13.9,4.918507082,0.201911455,10.2972972972973
"393","Cissa thalassina","Javan Green Magpie",6938,"Corvidae","Passeriformes","AVIBASE-7DDA43DF",9,2,7,0,4,37.4,25,12.1,14.7,42.7,139.3,10.9,128.1,7.9,112.8,125,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Carnivore","Invertivore","Generalist",-7.7,-6.51,-7.11,108.23,33452.41,22724821,5,1,1,0,0,1,0,1,0,0,0,0,0,0,-0.3984896,0.326514666,-0.08048676,-0.146557964,3,4.925450033,0.213883809,5.94594594594595
"394","Buteogallus coronatus","Crowned Solitary Eagle",3173,"Accipitridae","Accipitriformes","AVIBASE-ABDAC20A",6,3,1,2,4,60.9,39.9,15.8,29.7,119.4,533,177.5,361.2,33,262.2,2950,"Dunning",NA,"NO",NA,NA,0,2,2,"Carnivore","Vertivore","Insessorial",-38.92,-9.72,-22.07,-55.75,4233989.28,22695855,4,1,1,1,1,0,0,1,0,0,0,0,0,0,4.44228649,3.487761378,1.535283396,-2.308782645,1,4.941686739,0.24188222,5.39189189189189
"395","Ailuroedus crassirostris","Green Catbird",5912,"Ptilonorhynchidae","Passeriformes","AVIBASE-D24C5470",24,8,6,10,4,33.7,18.1,9.6,14.4,48.6,155.8,31.9,132.6,19.4,113.7,205.3,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",-36.68,-23.74,-29.32,151.8,208835.98,22703624,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.43293573,0.822673253,-0.012769697,-1.227670305,2,4.948181678,0.253082027,7.34684684684685
"396","Actenoides bougainvillei","Bougainville Moustached Kingfisher",3474,"Alcedinidae","Coraciiformes","AVIBASE-97D9D953",4,2,2,0,4,52,37.4,14,15.9,20.3,129,24.4,104.6,18.9,96.5,188,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-6.88,-5.41,-6.2,155.29,6382.98,22726874,4,1,1,1,0,0,0,1,0,0,0,0,0,0,-2.054978358,0.734642892,-0.122758624,NA,NA,4.950919286,0.25780273,2.94144144144144
"397","Ramphastos vitellinus","Channel-billed Toucan",3588,"Ramphastidae","Piciformes","AVIBASE-A7F57EE0",10,4,4,2,4,119.7,116.1,30.9,40.7,45.3,194.5,26.1,173.1,13.1,153,360.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Frugivore","Insessorial",-3.33,10.84,2.77,-59.25,1748066.75,22726222,3,1,1,0,0,0,0,1,0,0,0,0,0,0,3.55765231,1.385415455,0.146057595,-0.146557964,3,4.970136952,0.290941479,6.22972972972973
"398","Pezoporus occidentalis","Night Parrot",4329,"Psittacidae","Psittaciformes","AVIBASE-A05AB2B9",6,1,1,4,4,18.4,13,8.7,17.1,22.1,142.2,64.1,77.7,45.3,100.2,130,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Terrestrial",-26.85,-18.76,-22.51,127.67,66684.53,22685237,4,1,1,1,0,0,0,1,1,1,0,0,1,0,0.29135956,0.365735379,-0.068584973,1.475110547,4.5,4.984374701,0.315492908,21.2162162162162
"399","Charadrius asiaticus","Caspian Plover",2395,"Charadriidae","Charadriiformes","AVIBASE-264D0351",5,2,3,0,4,22.9,15.7,3.6,4.2,37.1,140.6,81.8,59,58,54,77.1,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Omnivore","Terrestrial",37.02,50.34,44.94,66.44,2844122.74,22693868,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.04439652,-0.15669579,-0.075151476,-0.146557964,3,4.991363237,0.327543869,8.86486486486486
"400","Pharomachrus mocinno","Resplendent Quetzal",3237,"Trogonidae","Trogoniformes","AVIBASE-1F414281",5,3,2,0,3,26.2,12.6,9.2,10.4,20.5,202,76,121.4,38.5,322.8,202.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",8.51,17.39,14.75,-88.9,149097.4,22682727,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1.09598635,0.808940816,0.176838078,-1.227670305,2,5.009649304,0.359076177,23.0495495495495
"401","Polytelis anthopeplus","Regent Parrot",4439,"Psittacidae","Psittaciformes","AVIBASE-6F2B75C0",4,2,2,0,4,22.9,17.8,11.7,18.3,20,191,99.9,91.1,52.3,209,170,"Dunning",NA,"NO",NA,NA,0,2,2,"Herbivore","Omnivore","Insessorial",-36.8,-27.97,-32.6,124.94,387356.37,22685078,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2.05073169,0.633999366,0.13169337,1.799444249,4.8,5.04372614,0.417837927,24.3108108108108
"402","Rynchops albicollis","Indian Skimmer",2587,"Laridae","Charadriiformes","AVIBASE-88151F23",4,2,2,0,4,84.9,66.6,6.3,21.9,26,371.8,257.8,114,69.3,108.5,164,"Inferred",NA,"YES","Body Mass","Rynchops flavirostris",0,3,2,"Carnivore","Aquatic predator","Aerial",11.02,35.17,26.11,80.03,1179458.68,22694268,4,1,1,1,0,1,0,1,1,1,1,0,0,0,3.16419744,0.598067357,0.873708214,-0.362780432,2.8,5.047294572,0.423991295,10.0495495495495
"403","Fregetta tropica","Black-bellied Storm-petrel",1995,"Oceanitidae","Procellariiformes","AVIBASE-ACE8EADE",5,2,3,0,4,20.7,8.2,3,4.4,39.3,164.4,92.2,71.1,56.5,76.2,52,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Aerial",-63.34,-43.7,-53.2,-23.01,29279.55,22698459,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.53172411,-0.550555352,0.022525256,-2.308782645,1,5.074713177,0.47127166,0.797297297297297
"404","Tauraco corythaix","Knysna Turaco",1956,"Musophagidae","Musophagiformes","AVIBASE-45CE1202",5,2,3,0,4,25.8,11.9,7,12.4,41.2,181.6,15.6,166.7,8.5,203.8,308,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-34.21,-22.65,-30.04,28.12,124836.47,22688335,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.91839121,1.228300712,0.093115164,-0.687114134,2.5,5.086836779,0.492177476,6.88738738738739
"405","Calidris acuminata","Sharp-tailed Sandpiper",2466,"Scolopacidae","Charadriiformes","AVIBASE-A0A67A81",5,2,3,0,4,27.4,20.5,2.8,3.9,28.7,128.8,70.4,58.6,54.5,53.4,66.1,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",67.56,73.93,70.74,144.88,348177.87,22693414,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.94410004,-0.310630324,-0.123579436,0.934554376,4,5.090169128,0.497923745,7.92342342342342
"406","Microcarbo pygmaeus","Pygmy Cormorant",2289,"Phalacrocoracidae","Suliformes","AVIBASE-AFF49475",5,2,3,0,4,36.6,26.5,7.6,12.1,36.1,201,63.8,136.2,31.8,142.4,676,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Aquatic",29.94,47.87,42.14,49.9,617480.54,22696734,1,0,1,0,0,0,0,1,0,1,1,0,0,0,2.51703412,2.014394005,0.172734014,NA,NA,5.096302422,0.508499934,7.25675675675676
"407","Corvus palmarum","Palm Crow",6974,"Corvidae","Passeriformes","AVIBASE-FC9516DF",14,3,9,2,8,49.1,31.3,12,16.3,50.1,244.2,82.9,160.7,34,142.9,289,"EltonTraits_Model",NA,"NO",NA,NA,0,2,1,"Omnivore","Omnivore","Insessorial",17.73,21.45,19.27,-72.55,32245.36,22731517,1,0,1,1,1,0,0,1,1,0,0,0,0,0,-0.43523927,1.164627617,0.350029596,0.934554376,4,5.10400899,0.521789062,13.7567567567568
"408","Astrapia mayeri","Ribbon-tailed Astrapia",7083,"Paradisaeidae","Passeriformes","AVIBASE-8F49F932",10,3,7,0,6,30.4,16.3,5.9,7.5,40.3,169.2,16.3,154.1,9.6,698.9,139.3,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-6.16,-4.94,-5.67,143.24,7451.13,22706218,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.900247732,0.43483081,0.042224766,-2.308782645,1,5.115744445,0.542025562,7.3018018018018
"409","Ardea intermedia","Intermediate Egret",2246,"Ardeidae","Pelecaniformes","AVIBASE-30785911",5,2,3,0,4,90.4,61.4,10.5,14.1,104.2,303.4,98.4,202.3,32.7,117.8,458.8,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Terrestrial",-8.85,39.29,21.5,99.46,5469087.01,22727668,1,0,0,0,0,0,0,0,1,0,1,0,1,0,4.69825354,1.626815314,0.592990209,NA,NA,5.159377464,0.617265897,10.1711711711712
"410","Aphelocoma coerulescens","Florida Scrub-jay",7023,"Corvidae","Passeriformes","AVIBASE-D78D24B9",9,2,7,0,4,30,17.7,9.1,9.1,37.8,116.7,20.6,96.2,17.5,140.5,77.1,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Omnivore","Insessorial",26.47,29.57,28.13,-81.41,6933.22,22705629,3,1,1,1,1,0,1,1,0,1,0,0,1,0,-1.972289079,-0.15669579,-0.173238616,0.664276291,3.75,5.175549526,0.645152836,6.49099099099099
"411","Strix chacoensis","Chaco Owl",2918,"Strigidae","Strigiformes","AVIBASE-4D481B0E",2,1,1,0,2,33.5,17.1,10.3,17.3,50.8,273.5,72.7,200.8,26.6,157.7,330,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Vertivore","Insessorial",-36.2,-19.14,-26.95,-62.89,766166.49,22733306,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.73278606,1.297293583,0.470278683,-0.795225368,2.4,5.177773042,0.648987045,5.63963963963964
"412","Calidris virgata","Surfbird",2463,"Scolopacidae","Charadriiformes","AVIBASE-11CF8C9A",5,2,3,0,4,29,15.9,4.2,5.6,30.9,173,94.2,78.6,54.5,63,201,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",56.76,68.34,63.62,-147.89,662683.31,22693356,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.58768378,0.801505837,0.05782021,NA,NA,5.17868575,0.650560909,19.536036036036
"413","Calidris pugnax","Ruff",2464,"Scolopacidae","Charadriiformes","AVIBASE-2DABF98F",10,5,5,0,4,37.6,26.7,3.8,5.1,42.9,163.7,85.3,81.9,51,60,131.7,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",47.67,75.23,64.07,75.55,8562266.88,22693468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.14650683,0.378727538,0.019652411,NA,NA,5.195099056,0.678863847,41.4234234234234
"414","Falco cherrug","Saker Falcon",4071,"Falconidae","Falconiformes","AVIBASE-A9F51494",6,2,4,0,4,32.8,21.8,14.8,17.9,52.6,378.5,190.5,191.8,49.9,204.5,961.2,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Vertivore","Generalist",28.11,59.73,46.79,77.96,11514254.26,22696495,4,1,1,0,1,0,1,1,0,1,1,0,0,1,5.44272762,2.366383433,0.901205445,0.934554376,4,5.195702924,0.679905151,21.9279279279279
