"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"1794","Spatula querquedula","Garganey",501,"Anatidae","Anseriformes","AVIBASE-F577BA0F",6,3,3,0,4,39.2,30,13.8,12.5,26,188.2,105.6,82.2,56.1,64.2,325.6,"Dunning",NA,"NO",NA,NA,0,3,3,"Omnivore","Herbivore aquatic","Aquatic",36.62,68.36,53.56,74.07,16861397.11,22680313,1,0,0,1,0,0,0,1,1,1,0,0,1,0,5.82416866,1.283870563,0.120201989,NA,NA,3.665187719,-1.959299734,0
"1795","Loriculus exilis","Pygmy Hanging-parrot",4426,"Psittacidae","Psittaciformes","AVIBASE-4E06EF1A",5,1,2,2,4,9.7,7.4,4,7.5,8,66.6,27.8,37.8,42.4,28.8,34,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,2,1,"Herbivore","Omnivore","Insessorial",-5.66,1.76,-1.63,121.35,103461.58,22685416,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.73058691,-0.975438546,-0.378852242,NA,NA,3.665464168,-1.958823028,0
"1796","Perisoreus canadensis","Grey Jay",6940,"Corvidae","Passeriformes","AVIBASE-69A6E32F",10,2,8,0,4,24.6,14.3,9,8.6,36.3,150.4,27.2,123.2,18.1,135.9,71.6,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",33.79,68.78,56.26,-107.33,7301159.58,22705783,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.98717503,-0.230703997,-0.034931645,0.393998206,3.5,3.668742765,-1.953169448,12.2027027
"1797","Doliornis remseni","Chestnut-bellied Cotinga",5368,"Cotingidae","Passeriformes","AVIBASE-E95B88A6",1,0,1,0,1,18.4,9,4.9,5.1,28.3,97,13.2,83.8,13.6,84,63.1,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Frugivore","Insessorial",-4.79,4.62,1.27,-76.93,10870.35,22700747,3,1,1,0,0,0,0,1,0,1,0,0,0,0,-1.522574532,-0.357078301,-0.254088684,NA,NA,3.668989457,-1.952744055,0
"1798","Carpornis cucullata","Hooded Berryeater",5355,"Cotingidae","Passeriformes","AVIBASE-CCD58E2A",5,2,3,0,4,18.3,9.2,5.6,6.8,23.3,113.6,22.4,90.9,19.8,101.8,74.2,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-31.85,-19.11,-25.4,-47.54,251722.97,22700725,2,0,1,0,1,1,1,1,0,0,0,0,0,0,1.61971573,-0.195034921,-0.185961215,NA,NA,3.6734596,-1.945035786,0
"1799","Eopsaltria griseogularis","Western Yellow Robin",7162,"Petroicidae","Passeriformes","AVIBASE-6BD534AC",8,3,5,0,4,16.6,9.5,4.4,4.4,20.3,86.9,20.6,66.3,23.8,64.1,19.4,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-35.19,-26.75,-31.74,121.75,587762.32,22704853,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.46770922,-1.536526005,-0.295539735,-1.227670305,2,3.674885786,-1.942576485,0
"1800","Calyptomena viridis","Green Broadbill",4568,"Calyptomenidae","Passeriformes","AVIBASE-0E127F06",12,3,5,4,5,16.6,8.7,6,6,21.4,97.8,16.5,82.1,16.7,51.6,58.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-5.95,16.15,1.69,107.77,1457426.48,22698750,2,0,1,0,0,0,0,1,0,1,0,0,0,0,3.37581404,-0.432772317,-0.250805433,-1.552004007,1.7,3.675978354,-1.940692472,9.306306306
"1801","Capito wallacei","Scarlet-banded Barbet",3635,"Capitonidae","Piciformes","AVIBASE-6C140C83",4,2,2,0,4,22,16.4,8.4,9.5,24.4,89.8,15.9,73.8,17.7,58.8,69.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-7.15,-6.74,-6.94,-75.63,185.53,22729471,3,1,0,0,0,0,0,1,0,0,0,0,1,0,-5.593152116,-0.260472318,-0.283637948,NA,NA,3.677304692,-1.938405348,0
"1802","Lamprotornis iris","Emerald Starling",8758,"Sturnidae","Passeriformes","AVIBASE-86BC7EC3",5,2,3,0,4,22.1,12.1,4.4,5.1,24.4,106.2,28.2,77,26.8,76.9,69,"EltonTraits_Model",NA,"NO",NA,NA,0,2,1,"Omnivore","Frugivore","Insessorial",6.32,9.99,8.41,-7.07,148739.05,22710642,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1.09358,-0.267692566,-0.216331292,NA,NA,3.677623006,-1.937856451,0
"1803","Edolisoma ostentum","White-winged Cicadabird",6479,"Campephagidae","Passeriformes","AVIBASE-E9338134",10,2,8,0,4,29.7,16.2,9.2,9.2,24.2,133.8,33,100.9,24.6,106.7,68,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",9.04,11.94,10.58,122.74,23404.52,22706629,3,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.75568426,-0.282291366,-0.103059114,NA,NA,3.682991518,-1.928599043,0
"1804","Alopecoenas rubescens","Marquesas Ground-dove",751,"Columbidae","Columbiformes","AVIBASE-AA66FD08",5,2,3,0,4,17.2,9.9,2.9,3.8,28.8,120.6,32,88.2,26.7,65.8,60,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Granivore","Insessorial",-9.44,-7.9,-8.14,-140.34,9.82,22691061,4,1,0,1,0,0,0,0,0,0,0,0,1,0,-8.531947588,-0.407454509,-0.157232764,NA,NA,3.68494686,-1.925227271,0
"1805","Terpsiphone corvina","Seychelles Paradise-flycatcher",6869,"Monarchidae","Passeriformes","AVIBASE-0CD6A922",8,2,6,0,3,19.8,10.1,6.7,4.2,18.8,88.1,17.2,71,19.5,112.9,18,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-4.38,-3.8,-4.29,55.83,15.5,22707133,3,1,0,1,1,0,0,0,0,0,0,0,0,0,-8.075528686,-1.611427313,-0.290614858,NA,NA,3.685841101,-1.923685251,0
"1806","Icterus laudabilis","St Lucia Oriole",10513,"Icteridae","Passeriformes","AVIBASE-B196BC41",4,1,0,3,4,25.4,17.1,5.9,7.7,24.9,105.5,23.4,82.1,22.2,105.6,36.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",13.7,14.1,13.89,-60.97,617.37,22724153,4,1,1,1,1,0,0,0,0,0,1,0,0,0,-4.39090019,-0.89358752,-0.219204137,NA,NA,3.685989842,-1.923428764,0
"1807","Columba elphinstonii","Nilgiri Woodpigeon",606,"Columbidae","Columbiformes","AVIBASE-5813ADBE",5,3,2,0,4,25.6,12.2,4.9,5.8,26.9,207.6,70.6,138.2,33.8,151.5,379,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Frugivore","Insessorial",8.28,19.89,13.04,76.17,116434.82,22690173,3,1,1,0,1,1,0,1,0,1,0,0,0,0,0.8487182,1.435737134,0.199820839,-2.308782645,1,3.686547261,-1.922467556,0
"1808","Phapitreron brunneiceps","Dark-eared Brown-dove",804,"Columbidae","Columbiformes","AVIBASE-43A48647",1,1,0,0,1,25.3,13.3,4.6,6.4,20.5,137.9,50,87.9,36.3,96.2,146,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",5.56,9.83,7.65,124.79,95407.83,22724523,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0.64954722,0.481807551,-0.08623245,NA,NA,3.687207068,-1.921329792,0
"1809","Syrmaticus humiae","Mrs Hume's Pheasant",323,"Phasianidae","Galliformes","AVIBASE-FAF7DC71",5,2,3,0,4,33.9,17.7,10.5,11,59.1,212.4,61.9,146.6,29.7,378.6,873.4,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Omnivore","Terrestrial",19.14,27.45,23.67,99.86,405564.05,22679330,2,0,1,0,1,0,0,1,0,1,0,0,0,0,2.09666538,2.27059457,0.219520348,5.529281823,8.25,3.688031451,-1.919908234,0
"1810","Todiramphus funebris","Sombre Kingfisher",3489,"Alcedinidae","Coraciiformes","AVIBASE-66629E0A",5,2,3,0,4,56.3,45.9,16,16.1,17.6,112.2,23.8,87.5,21.3,89.4,126,"Inferred",NA,"YES","Body Mass","Todiramphus saurophagus",0,2,1,"Carnivore","Invertivore","Insessorial",-0.92,2.23,0.87,128.01,18106.9,22683387,3,1,1,0,1,1,0,1,0,1,0,0,0,0,-1.01232035,0.334482836,-0.191706905,NA,NA,3.6924966,-1.912208576,0
"1811","Actenoides princeps","Scaly-breasted Kingfisher",3472,"Alcedinidae","Coraciiformes","AVIBASE-C0B45D6E",19,7,12,0,4,45.1,33.2,11.8,13.1,19.4,113.1,25.6,86.1,23,88.5,105,"Updated_literature","Dunning (2021)","NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-5.53,1.71,-1.3,121.08,100980.44,22726858,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0.7063134,0.152161279,-0.188013248,NA,NA,3.69385237,-1.9098707,0
"1812","Dendrocopos leucotos","White-backed Woodpecker",4000,"Picidae","Piciformes","AVIBASE-E69789EC",5,2,3,0,4,35.8,28.1,9.1,8.5,24.7,142.8,42.5,99.7,29.9,91.6,116.8,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",22.6,66.04,52.06,81.1,11181511.25,22727124,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.41340348,0.258663999,-0.066122535,0.934554376,4,3.695497621,-1.907033646,0
"1813","Basilornis galeatus","Helmeted Myna",8769,"Sturnidae","Passeriformes","AVIBASE-6DE7C210",4,0,0,4,4,27.8,16.9,6.9,8.9,31.8,141.4,40.5,100.9,28.6,98.2,126,"Inferred",NA,"YES","Body Mass","Basilornis corythaix",0,1,1,"Herbivore","Frugivore","Insessorial",-2.49,-1.16,-1.71,124.44,7248.97,22710961,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.927754041,0.334482836,-0.071868225,NA,NA,3.6955069,-1.907017646,0
"1814","Meiglyptes tukki","Buff-necked Woodpecker",3825,"Picidae","Piciformes","AVIBASE-A858DD82",6,0,2,4,5,25.2,19.9,7.2,7.3,21,96.8,15.2,81.6,15.6,57.7,53.1,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-5.95,14.25,1.2,108.06,772219.58,22681562,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2.74065551,-0.529622143,-0.254909497,-1.227670305,2,3.695747027,-1.906603573,0
"1815","Antrostomus vociferus","Eastern Whip-poor-will",1040,"Caprimulgidae","Caprimulgiformes","AVIBASE-1A09655B",5,1,1,3,4,16.1,6.7,3.8,2.7,15.1,154.4,72.3,84.4,46.1,114.2,53.3,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Generalist",31.65,54.53,42.29,-86.2,3403564.97,22736393,2,0,1,0,1,0,1,0,0,1,1,0,0,0,4.22396525,-0.52586274,-0.018515388,-1.227670305,2,3.696018219,-1.906135932,0
"1816","Neophema petrophila","Rock Parrot",4333,"Psittacidae","Psittaciformes","AVIBASE-B148FE32",5,1,4,0,4,14,10.9,7.7,12.4,16.1,111.2,50.1,61.1,45.1,105,53.2,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Terrestrial",-36.08,-25.49,-33.43,126.1,142134.67,22685200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.04816156,-0.527740675,-0.19581097,1.475110547,4.5,3.698046512,-1.902638364,30.45045045
"1817","Drymotoxeres pucheranii","Greater Scythebill",5026,"Furnariidae","Passeriformes","AVIBASE-AC386DCD",8,2,3,3,3,63.4,52.7,5.8,7,27.7,120.8,18.6,102.2,15.4,118.8,70.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-13.59,7.07,-5.55,-75.47,141869.45,22703177,2,0,1,0,1,1,0,1,0,0,0,0,0,0,1.04629384,-0.246186361,-0.156411952,NA,NA,3.698575407,-1.901726343,0
"1818","Laniellus albonotatus","Spotted Crocias",8526,"Leiotrichidae","Passeriformes","AVIBASE-B4B5F30E",4,2,2,0,4,19,10.6,4.9,6.3,25,86,12.9,73.1,14.9,107.8,45,"EltonTraits_Model",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-7.49,-6.61,-7.07,107.19,2839.06,22716693,2,0,1,0,0,0,0,1,0,1,0,0,0,0,-2.86514042,-0.695136581,-0.299233393,NA,NA,3.698863859,-1.90122894,0
"1819","Touit costaricensis","Red-fronted Parrotlet",4115,"Psittacidae","Psittaciformes","AVIBASE-F30DC53E",2,1,1,0,2,22.1,17.4,10.8,16,11.4,114.2,49.2,64.9,43.1,41.2,80,"EltonTraits_Model",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",8.56,10.48,9.55,-83.37,9984.12,22686017,2,0,1,0,1,0,0,1,0,1,0,0,1,0,-1.6076176,-0.119772436,-0.183498777,-0.741169751,2.45,3.699114188,-1.900797275,0
"1820","Capito hypoleucus","White-mantled Barbet",3634,"Capitonidae","Piciformes","AVIBASE-9DA6DE60",10,4,5,1,9,25.2,18.8,8,10.7,24,87.6,14.3,73.2,16.4,55.7,70.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",5.11,6.39,5.82,-74.77,3663.83,22681914,3,1,1,0,1,1,0,1,0,0,0,0,0,0,-2.610104383,-0.240528637,-0.29266689,NA,NA,3.702901849,-1.894265871,0
"1821","Oreornis chrysogenys","Orange-cheeked Honeyeater",6107,"Meliphagidae","Passeriformes","AVIBASE-680E7394",4,2,2,0,4,26,11.7,3.9,5.3,38.4,129,22.2,106.8,17.2,128.9,69.5,"Updated_literature","BoW","NO",NA,NA,0,3,1,"Omnivore","Omnivore","Insessorial",-5.03,-3.41,-4.1,138.25,22304.25,22704122,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.80383619,-0.260472318,-0.122758624,NA,NA,3.702915114,-1.894242997,0
"1822","Gallirallus calayanensis","Calayan Rail",1786,"Rallidae","Gruiformes","AVIBASE-CB7F715F",1,0,0,1,1,33.1,19.9,5,9.7,58.1,150,14.9,135.1,9.9,76.2,244,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",19.29,19.35,19.32,121.47,67.91,22732059,3,1,0,1,1,0,1,1,0,0,0,0,0,0,-6.598185411,0.995369154,-0.036573271,NA,NA,3.703410647,-1.893388504,1.288372093
"1823","Rallus wetmorei","Plain-flanked Rail",1772,"Rallidae","Gruiformes","AVIBASE-C452272A",2,1,1,0,2,52.5,34.1,4.7,8.1,42.7,125,22,103,17.6,46,259.4,"Inferred",NA,"YES","Body Mass","Rallus longirostris",0,2,2,"Carnivore","Aquatic predator","Terrestrial",10.43,10.96,10.7,-68.11,117.29,22692476,4,1,0,0,1,1,1,1,0,0,1,0,0,0,-6.051719209,1.056572201,-0.139174881,NA,NA,3.703469473,-1.893287066,0
"1824","Lipaugus weberi","Chestnut-capped Piha",5384,"Cotingidae","Passeriformes","AVIBASE-5309608B",4,2,2,0,4,22.2,13.9,7,7.1,22.5,127.8,27,100.8,21,106.9,72.1,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",6.88,7.13,6.96,-75.07,41.87,22729457,5,1,1,0,0,1,1,0,0,1,0,0,1,0,-7.08179913,-0.223745027,-0.127683501,NA,NA,3.703879831,-1.892579448,0
"1825","Lathamus discolor","Swift Parrot",4315,"Psittacidae","Psittaciformes","AVIBASE-F5E8A0CE",5,0,1,4,4,15.8,11.7,8,13.7,14.3,123,64.8,57.6,53,119.8,64.7,"Dunning",NA,"NO",NA,NA,0,2,3,"Herbivore","Nectarivore","Insessorial",-43.64,-40.99,-42.48,147.61,12318.07,22685219,5,1,1,1,1,0,1,1,1,0,0,0,1,0,-1.397546141,-0.332037869,-0.14738301,1.177804653,4.225,3.70476426,-1.891054348,18.86936937
"1826","Batis reichenowi","Reichenow's Batis",6598,"Platysteiridae","Passeriformes","AVIBASE-90A3BA20",11,3,8,0,2,16,7.5,5.4,3.8,18.5,59.9,6.7,53.2,11.2,33.1,12.2,"DataFromSplit",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-10.55,-9.52,-10.11,39.53,11119.93,22707842,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.499874437,-2.000363119,-0.406349474,-1.227670305,2,3.705356972,-1.890032281,0
"1827","Calidris temminckii","Temminck's Stint",2469,"Scolopacidae","Charadriiformes","AVIBASE-5ACF7FB3",6,4,2,0,4,19,14.6,2.3,3.1,17.8,96.7,47.9,47.9,50,46.2,23,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",60.05,76.22,69.29,92.64,3436316.19,22693388,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4.23354187,-1.366304855,-0.255319904,0.934554376,4,3.705359043,-1.89002871,4.175675676
"1828","Gallinago imperialis","Imperial Snipe",2505,"Scolopacidae","Charadriiformes","AVIBASE-3AA9C3BA",1,0,0,1,1,84.1,68.7,6.9,11.7,36,153,24.7,128.3,16.1,55,252,"Inferred",NA,"YES","Body Mass","Gallinago stricklandii",0,3,1,"Carnivore","Aquatic predator","Terrestrial",-14.42,0.86,-6.51,-76.97,77754.43,22693130,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.4449421,1.027630017,-0.024261078,NA,NA,3.706393772,-1.888244434,0
"1829","Lipaugus conditus","Grey-winged Cotinga",5380,"Cotingidae","Passeriformes","AVIBASE-3E1D4D61",1,1,0,0,1,18.7,12.6,5.6,6.9,25.7,121,17,103.9,14,105.4,80,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-22.61,-22.25,-22.42,-42.98,250.46,22700721,3,1,0,0,0,0,0,1,1,1,0,0,1,0,-5.293069483,-0.119772436,-0.155591139,NA,NA,3.70797842,-1.885511883,0
"1830","Lipaugus ater","Black-and-gold Cotinga",5379,"Cotingidae","Passeriformes","AVIBASE-99978F19",4,2,2,0,4,27.4,15,8.5,9.3,29.6,145,29.3,115.7,20.2,115.5,80,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-23.56,-21.81,-22.54,-44.17,12392.12,22700718,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.391552644,-0.119772436,-0.057093593,NA,NA,3.708739987,-1.884198645,0
"1831","Nesopsar nigerrimus","Jamaican Blackbird",10518,"Icteridae","Passeriformes","AVIBASE-F8918F08",4,0,1,3,4,26,17.7,4.8,7.3,21,99.5,16.6,82.9,16.7,73.5,39,"Dunning",NA,"NO",NA,NA,0,1,2,"Carnivore","Invertivore","Insessorial",17.95,18.43,18.16,-77.1,1727.91,22724163,4,1,1,1,1,1,0,1,0,0,0,0,1,0,-3.361700845,-0.838237425,-0.243828523,NA,NA,3.714796537,-1.873754791,0
"1832","Glossopsitta pusilla","Little Lorikeet",4367,"Psittacidae","Psittaciformes","AVIBASE-3AACCDB1",4,2,2,0,4,14.4,10.2,7.4,9.7,11.2,96.2,52.6,43.6,54.7,55.8,39.4,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Omnivore","Insessorial",-39,-15.93,-31.2,148.58,776503.49,22684655,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.74618771,-0.828033255,-0.257371936,0.880498759,3.95,3.71493789,-1.873511044,14.55405405
"1833","Dasyornis broadbenti","Rufous Bristlebird",5968,"Dasyornithidae","Passeriformes","AVIBASE-CA9DB79D",11,4,6,1,2,21.6,10.4,4.6,5.6,33.5,90.8,5,86.5,5.5,120.9,67.9,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Generalist",-38.86,-35.31,-37.67,141.5,26759.89,22704510,1,0,1,1,1,0,0,0,0,1,0,0,1,0,-0.62170931,-0.283763036,-0.279533884,-1.227670305,2,3.716938109,-1.870061886,3.274774775
"1834","Ceblepyris graueri","Grauer's Cuckooshrike",6467,"Campephagidae","Passeriformes","AVIBASE-A6C2DC31",3,1,2,0,2,18.3,10.9,6.4,6.3,22.2,109,22.4,86.6,20.6,97.7,47.2,"Inferred",NA,"YES","Body Mass","Ceblepyris cinereus",0,1,1,"Carnivore","Invertivore","Insessorial",-3.94,2.39,-0.48,29.17,31898.57,22706553,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.44605225,-0.647405178,-0.204839912,NA,NA,3.718703183,-1.867018211,0
"1835","Accipiter gularis","Japanese Sparrowhawk",3111,"Accipitridae","Accipitriformes","AVIBASE-1E49FE52",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Vertivore","Insessorial",24.25,59,49.07,117.11,4785704.92,22695585,1,0,1,1,0,0,0,1,0,0,1,0,0,0,4.56477518,0.291509057,0.01513794,0.069664504,3.2,3.718795422,-1.866859155,6.346846847
"1836","Columba junoniae","White-tailed Laurel-pigeon",597,"Columbidae","Columbiformes","AVIBASE-396E6311",4,2,2,0,4,28.3,13.8,5.1,6.2,32.9,219,66,153.1,30.1,153.2,440,"Inferred",NA,"YES","Body Mass","Columba trocaz",0,2,1,"Herbivore","Frugivore","Insessorial",27.67,28.84,28.36,-17.57,1210.6,22690122,2,0,1,1,0,0,0,1,1,0,0,0,0,0,-3.717497327,1.584975656,0.246607173,-2.308782645,1,3.720475484,-1.863962073,0
"1837","Loriculus flosculus","Flores Hanging-parrot",4428,"Psittacidae","Psittaciformes","AVIBASE-BB7D6891",1,0,0,1,1,13.5,10.1,5.7,8.7,10.5,76,31.1,44.9,40.9,32,34,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-8.83,-8.37,-8.62,121.11,1417.69,22685428,3,1,1,0,1,0,0,1,0,0,0,0,0,0,-3.559584645,-0.975438546,-0.340274037,NA,NA,3.720932639,-1.863173759,0
"1838","Pica asirensis","Asir Magpie",6958,"Corvidae","Passeriformes","AVIBASE-381534F5",0,0,0,0,0,40.8,26.1,12.4,13.7,49.1,194.5,44.6,149.9,22.9,237.4,200,"Updated_literature","Dunning (2021)","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Pica pica",1,3,1,"Omnivore","Omnivore","Terrestrial",17.85,20.92,19.37,42.54,42656.37,103727136,4,1,0,0,0,0,0,1,1,0,0,0,1,0,-0.15543681,0.796518296,0.146057595,NA,NA,3.7304073,-1.84683575,3.373873874
"1839","Drymodes brunneopygia","Southern Scrub-robin",7151,"Petroicidae","Passeriformes","AVIBASE-0608D05C",7,3,3,1,4,16.5,8.8,3.4,3.9,35.5,91.9,12.3,78,13.6,100.7,33,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Generalist",-37.35,-25.52,-32.61,130.32,916861.69,22704928,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.9123432,-1.00529151,-0.275019413,-2.308782645,1,3.731743503,-1.844531615,0
"1840","Pycnoptilus floccosus","Pilotbird",6189,"Acanthizidae","Passeriformes","AVIBASE-F16E99A0",11,3,5,3,4,15.6,7.2,3.3,3.7,27.9,69,8.3,59.2,12.4,71.5,28.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",-39,-30.93,-35.35,148.68,244748.61,22704513,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.59161817,-1.137957476,-0.369002488,-1.552004007,1.7,3.732408103,-1.843385586,2.608108108
"1841","Coccyzus rufigularis","Bay-breasted Cuckoo",1661,"Cuculidae","Cuculiformes","AVIBASE-AB5C68F1",4,2,2,0,4,44.5,25.7,9.3,11.7,39.3,181.1,24.8,156.2,13.7,269.8,128,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Vertivore","Insessorial",17.99,19.3,18.46,-71.47,1132.73,22684360,4,1,1,0,0,0,0,1,0,1,1,0,1,0,-3.783982783,0.350231193,0.091063132,-1.227670305,2,3.732554484,-1.843133168,0
"1842","Petroica dannefaerdi","Snares Tomtit",7135,"Petroicidae","Passeriformes","AVIBASE-94D6C03B",0,0,0,0,0,11.7,6.7,2.9,2.9,22.2,74.2,17.2,57.1,23.2,54,11.8,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Petroica macrocephala",0,1,1,"Carnivore","Invertivore","Insessorial",-48.02,-48,-48.01,166.56,2.58,103734886,3,1,0,1,0,0,0,0,0,0,0,0,0,0,-9.868579311,-2.03369954,-0.347661353,NA,NA,3.736593679,-1.836168021,0
"1843","Cypseloides niger","Black Swift",1108,"Apodidae","Caprimulgiformes","AVIBASE-7FB66FEB",5,2,3,0,4,9,3.7,3.4,2.4,12.5,149.4,105.2,39.3,73,59.4,39.7,"Dunning",NA,"NO",NA,NA,0,1,2,"Carnivore","Invertivore","Aerial",8.88,57.94,32.36,-105.27,1303249.37,22686440,3,1,0,0,0,0,0,0,0,0,1,0,1,0,3.26400251,-0.820447883,-0.03903571,-2.308782645,1,3.738376237,-1.833094196,0
"1844","Turdus swalesi","La Selle Thrush",8973,"Turdidae","Passeriformes","AVIBASE-24058626",1,0,1,0,1,29.3,17.6,6,8.1,43.9,129.5,23.8,105.7,18.4,109,75,"Dunning",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Terrestrial",18.01,19.28,18.78,-71.12,4266.1,22708955,3,1,1,0,0,0,0,1,0,0,0,0,0,0,-2.45791337,-0.184310957,-0.120706591,-0.470891666,2.7,3.746102488,-1.819771127,0
"1845","Aythya innotata","Madagascar Pochard",484,"Anatidae","Anseriformes","AVIBASE-691757FF",5,2,3,0,4,50.8,30.2,20.1,12.4,32.9,187.2,87,98.3,46.9,63.2,685,"Dunning",NA,"NO",NA,NA,0,3,1,"Omnivore","Aquatic predator","Aquatic",-14.49,-14.24,-14.36,48.55,597.73,22680380,5,1,1,1,0,0,0,1,0,1,1,0,1,0,-4.423229563,2.027619767,0.116097925,NA,NA,3.748139205,-1.816259033,0
"1846","Edolisoma anale","New Caledonian Cicadabird",6478,"Campephagidae","Passeriformes","AVIBASE-9EDF64A5",10,2,8,0,4,29.1,15.3,8.6,11.3,30.8,140.8,35,105.8,24.8,119.9,82.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-22.64,-20.44,-21.57,165.87,5155.81,22706535,2,0,0,0,0,1,0,0,0,1,0,0,1,0,-2.268489197,-0.090213634,-0.074330664,NA,NA,3.748723658,-1.815251208,0
