"","X","Sequence","species","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other","logmass","logrange"
"1755",1807,6812,"Symposiachrus julianae","Monarchidae","Passeriformes","AVIBASE-3307E31E",1,0,1,0,1,17.1,11.5,5.6,5.1,18.5,82.6,14.5,68.1,17.6,71.7,16.4,"Inferred",NA,"YES","Body Mass","Symposiachrus guttula","Forest",1,1,"Carnivore","Invertivore","Insessorial",-1.26,-1.15,-1.2,129.85,143.74,22707300,3,1,1,0,0,0,0,1,0,0,0,0,1,0,2.79728133483015,4.9680061120403
"1756",1808,6811,"Symposiachrus leucurus","Monarchidae","Passeriformes","AVIBASE-058B4E9A",6,0,6,0,2,17.1,9.9,5.7,4.7,18.2,77.6,14.2,63.4,18.3,71.7,16.4,"Inferred",NA,"YES","Body Mass","Symposiachrus guttula","Forest",2,1,"Carnivore","Invertivore","Insessorial",-6,-5.27,-5.66,132.89,1111.79,22707297,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.79728133483015,7.01372660805546
"1757",1809,6820,"Symposiachrus malaitae","Monarchidae","Passeriformes","AVIBASE-7E685EB2",6,0,6,0,0,17.8,9.2,5.9,4.7,21.1,84.8,13.5,71.3,15.9,75.2,21,"DataFromSplit",NA,"YES","Beak Nares","Symposiachrus barbatus","Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.8,-8.32,-9,161.01,4330.72,103713884,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.04452243772342,8.37348908892845
"1758",1810,6816,"Symposiachrus menckei","Monarchidae","Passeriformes","AVIBASE-82331F19",7,0,7,0,1,16.3,9.1,5.6,4.2,20,70.3,12.1,58.2,17.2,61.4,16.4,"Inferred",NA,"YES","Body Mass","Symposiachrus guttula","Forest",2,1,"Carnivore","Invertivore","Insessorial",-1.54,-1.32,-1.42,149.61,239.41,22707313,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2.79728133483015,5.47817756334589
"1759",1811,6806,"Symposiachrus sacerdotum","Monarchidae","Passeriformes","AVIBASE-E1D6FE15",1,0,1,0,0,15.9,10.4,5.9,4.3,19.6,72,11,61,15.3,70,37,"EltonTraits_Model",NA,"YES","Beak Nares","Symposiachrus loricatus","Forest",1,1,"Carnivore","Invertivore","Insessorial",-8.83,-8.41,-8.65,119.98,696.22,22707285,4,1,1,0,1,0,1,1,0,1,0,0,1,0,3.61091791264422,6.54566570234191
"1760",1812,6868,"Terpsiphone atrocaudata","Monarchidae","Passeriformes","AVIBASE-11453A98",8,2,6,0,4,19.5,10.7,6.8,5.1,15.8,91.6,21.9,69.7,23.9,102.9,18.7,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Insessorial",19.95,39.22,34.57,132.24,390211.35,22707151,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.92852352386054,12.8744437943955
"1761",1813,6881,"Terpsiphone bedfordi","Monarchidae","Passeriformes","AVIBASE-6E2957C6",5,0,4,1,2,19.1,10.8,6.2,4.4,16,75.2,11.5,63.7,15.3,83,15.4,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.59,3,0.22,29.43,42552.86,22707096,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.73436750941958,10.6585023467838
"1762",1814,6869,"Terpsiphone corvina","Monarchidae","Passeriformes","AVIBASE-0CD6A922",8,2,6,0,3,19.8,10.1,6.7,4.2,18.8,88.1,17.2,71,19.5,112.9,18,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-4.38,-3.8,-4.29,55.83,15.5,22707133,3,1,0,1,1,0,0,0,0,0,0,0,0,0,2.89037175789616,2.7408400239252
"1763",1815,6867,"Terpsiphone cyanescens","Monarchidae","Passeriformes","AVIBASE-8BEC2BCA",7,2,5,0,4,23.5,13.9,8.3,6,17.4,90.6,15.7,74.9,17.3,94.1,24.6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",8.33,12.33,9.94,118.7,8149.54,22707161,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3.20274644293832,9.00571676292422
"1764",1816,10017,"Amaurocichla bocagii","Motacillidae","Passeriformes","AVIBASE-47CB67FD",1,0,0,1,1,19.1,13,3.9,3.8,23.9,63,6.9,56.1,11,34,7,"EltonTraits_Model",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",0.07,0.34,0.21,6.56,340.89,22715170,3,1,1,1,1,0,1,1,0,0,0,0,0,0,1.94591014905531,5.83155984459803
"1765",1817,9974,"Anthus antarcticus","Motacillidae","Passeriformes","AVIBASE-AAA4D21C",4,1,3,0,4,16.1,9.8,3.2,3.5,23.6,81.8,17.1,64.7,20.9,63.5,36.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-54.89,-53.98,-54.37,-37,608.33,22718588,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.58629286533884,6.41071749788142
"1766",1818,9959,"Anthus cervinus","Motacillidae","Passeriformes","AVIBASE-319D044A",13,6,7,0,4,14.1,7.9,3,3,21.7,83.3,22.9,60.3,27.5,56.6,20.9,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",48.72,75.18,68.1,104.51,3787889.02,22718560,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.03974915897077,15.1473194350764
"1767",1819,9978,"Anthus crenatus","Motacillidae","Passeriformes","AVIBASE-56CB3F84",5,2,3,0,4,19.8,11.2,3.5,4.5,27.5,84.3,16.4,67.7,19.6,67.4,30.7,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-33.85,-26.11,-30.3,25.52,343685.27,22718452,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3.42426265459315,12.7474816047767
"1768",1820,9956,"Anthus gustavi","Motacillidae","Passeriformes","AVIBASE-9DC4CC54",5,2,3,0,4,15.4,9,3.4,3.7,22.2,80.5,25,54.9,31.3,57.3,19.8,"Dunning",NA,"NO",NA,NA,"Shrubland",3,3,"Carnivore","Invertivore","Terrestrial",42.07,72.71,65.91,119.79,4257344.47,22718553,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.98568193770049,15.2641561600238
"1769",1821,9977,"Anthus hoeschi","Motacillidae","Passeriformes","AVIBASE-B855F1E4",4,2,2,0,4,16.4,9.8,4,3.9,26.6,84.9,24.8,60.1,29.1,72.1,27,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",-31.37,-28.43,-29.75,28.42,31304.48,22718467,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3.29583686600433,10.3515164972764
"1770",1822,9991,"Anthus melindae","Motacillidae","Passeriformes","AVIBASE-D8A51184",5,2,3,0,4,16.2,9.9,3.4,4.8,26.1,83.6,16.2,67.3,19.4,63.2,22.5,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-3.84,4.22,0.91,43.46,108383.57,22718497,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.11351530921037,11.5934317882344
"1771",1823,9972,"Anthus nattereri","Motacillidae","Passeriformes","AVIBASE-28F81C1C",3,0,3,0,1,11.8,8,3.4,4,23.2,71.9,14.2,60.3,19.1,58.1,19.5,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-32.87,-19.55,-25.7,-51.57,181070.54,22718611,3,1,1,1,0,0,0,0,0,1,0,0,0,0,2.9704144655697,12.1066419580823
"1772",1824,9976,"Anthus nilghiriensis","Motacillidae","Passeriformes","AVIBASE-9E5537A4",5,2,3,0,4,15.5,9.1,3.6,3.9,23.7,74.8,11.8,62.7,15.8,69.3,31,"Inferred",NA,"YES","Body Mass","Anthus sylvanus","Grassland",3,1,"Carnivore","Invertivore","Terrestrial",8.34,12.37,10.5,76.97,11553.33,22718582,3,1,1,0,0,0,0,0,1,1,0,0,1,0,3.43398720448515,9.35472898608442
"1773",1825,9962,"Anthus pratensis","Motacillidae","Passeriformes","AVIBASE-14873249",26,15,11,0,9,14.2,8.1,3.1,3.1,21.5,77.8,18.9,58.7,24.3,56.3,18.4,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Invertivore","Terrestrial",41.08,71.19,59.47,30.67,6733599.47,22718556,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.91235066461494,15.7226203981697
"1774",1826,9961,"Anthus rubescens","Motacillidae","Passeriformes","AVIBASE-8F268682",5,2,3,0,4,14.5,9.4,3.1,3.1,21.2,85,24.1,60.9,28.4,67.6,20.7,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",31.22,76.17,61.56,13.05,12413847.38,22718575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.03013370027132,16.3343231316962
"1775",1827,9953,"Anthus sokokensis","Motacillidae","Passeriformes","AVIBASE-19489268",4,3,1,0,4,14.2,8.3,2.9,3.5,18,68.8,12.4,56.3,18.1,55.8,15,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-6.96,-2.83,-4.74,39.39,2265.15,22718542,4,1,1,1,0,0,0,1,0,1,0,0,0,0,2.70805020110221,7.72539626088991
"1776",1828,9969,"Anthus spragueii","Motacillidae","Passeriformes","AVIBASE-BF380B5D",5,2,3,0,4,14.2,8.9,3.5,3.8,22.2,78.1,20.8,58.1,26.4,65.2,25.5,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",44.84,55.21,50.4,-106.54,1036783.61,22718591,3,1,1,1,0,0,0,0,0,1,0,0,1,0,3.23867845216438,13.851633796199
"1777",1829,10003,"Hemimacronyx chloris","Motacillidae","Passeriformes","AVIBASE-71F12B23",5,2,3,0,4,15.2,8.9,3.1,3.6,24.3,84.5,17.4,67.8,20.4,72.2,25.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-32.39,-24.75,-28.43,29.46,82125.98,22718444,3,1,1,1,0,1,0,0,0,1,0,0,1,0,3.22286784613774,11.3160096887446
"1778",1830,9995,"Macronyx flavicollis","Motacillidae","Passeriformes","AVIBASE-05AE5DFF",5,2,3,0,4,17,9.4,3.7,4.8,31.5,87.8,15.6,71.2,18,59.6,45.1,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",5.02,13.38,8.92,38.16,404989.73,22718419,2,0,1,0,1,0,1,0,0,0,0,0,0,0,3.80888224650863,12.9116169877425
"1779",1832,10002,"Macronyx sharpei","Motacillidae","Passeriformes","AVIBASE-FED54E53",4,0,4,0,4,17,9.7,3.7,4.9,28.5,87,15.7,71.3,18.1,67.8,29.9,"Updated_literature","Kimani et al. (2016)","NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-0.95,1.33,-0.58,36.29,1870.77,22718436,4,1,1,0,1,1,0,0,0,1,0,0,1,0,3.39785848039664,7.53410538980269
"1780",1833,9994,"Madanga ruficollis","Motacillidae","Passeriformes","AVIBASE-BF2ABEE9",3,1,0,2,2,14.5,8.8,3.3,3.3,19.4,70.2,11.1,59.1,15.8,55,15,"EltonTraits_Model",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.62,-3.13,-3.33,126.36,1363.4,22714290,4,1,1,0,1,0,0,1,0,0,0,0,1,0,2.70805020110221,7.21773685892868
"1781",1834,10016,"Motacilla alba","Motacillidae","Passeriformes","AVIBASE-400E032C",27,11,16,0,10,16.1,9.7,3.4,3.5,23.4,87,27.4,59.7,31.4,86.8,23.9,"Dunning",NA,"NO",NA,NA,"Human Modified",3,3,"Carnivore","Invertivore","Terrestrial",22.95,76,52.86,81.67,39488711.64,22718348,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.17387845893747,17.4915254077623
"1782",1835,10014,"Motacilla samveasnae","Motacillidae","Passeriformes","AVIBASE-FE9D807D",4,3,1,0,4,17.6,11.1,3.5,3.6,21.8,78.5,21.1,57.4,26.9,77.8,22.7,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Riverine",3,1,"Carnivore","Invertivore","Generalist",12.59,15.14,13.82,106.46,37892.03,22729485,2,0,0,0,1,0,0,0,0,1,0,0,0,0,3.12236492448736,10.542496078719
"1783",1836,9194,"Brachypteryx hyperythra","Muscicapidae","Passeriformes","AVIBASE-E1BA4929",4,2,2,0,4,13.7,7.9,2.9,3.4,27.4,59.5,6.8,52.7,11.4,39.5,15.8,"Inferred",NA,"YES","Body Mass","Brachypteryx leucophris","Forest",2,2,"Carnivore","Invertivore","Terrestrial",23.35,28.45,26.49,97.27,41728.24,22708973,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.76000994003292,10.6389333968035
"1784",1837,9218,"Calliope obscura","Muscicapidae","Passeriformes","AVIBASE-497B8CEE",5,0,5,0,4,14.2,8.7,3.5,3.3,26.7,68,13.5,55,19.8,47.8,19.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Invertivore","Generalist",30.97,35.67,33.49,104.89,67106.71,22709717,3,1,1,0,1,0,1,1,0,0,0,0,0,0,2.97552956623647,11.1140393179601
"1785",1838,9217,"Calliope pectardens","Muscicapidae","Passeriformes","AVIBASE-AD2D6B14",5,0,5,0,4,15,8.2,3,3.1,26.5,71,12.7,58.8,17.8,56.2,14.5,"Updated_literature","BoW","NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Terrestrial",27.7,38.05,32.13,101.52,814933.45,22709724,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2.67414864942653,13.6108617324472
"1786",1839,9321,"Campicoloides bifasciatus","Muscicapidae","Passeriformes","AVIBASE-916C5AED",9,4,5,0,4,19.8,11.2,4.3,4.7,31,89.4,15.5,73,17.5,64.7,35,"Updated_literature","BoW","NO",NA,NA,"Rock",3,1,"Carnivore","Invertivore","Insessorial",-33.15,-23.55,-28.43,29.29,244640.94,22710231,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.55534806148941,12.4075468635361
"1787",1840,9161,"Chamaetylas choloensis","Muscicapidae","Passeriformes","AVIBASE-68B8466C",2,0,2,0,1,19.2,10.1,3.9,5.2,28.7,96,17,80,17.5,73,41.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-16.54,-13.9,-15.48,35.97,4661.03,22709004,3,1,1,0,1,0,1,1,1,1,0,0,0,0,3.72086249996699,8.44699173273907
"1788",1841,9160,"Chamaetylas fuelleborni","Muscicapidae","Passeriformes","AVIBASE-4ACA4C5C",25,2,3,20,24,22.4,12.4,5.2,6.2,34.1,105.5,20.6,85,19.5,76.7,52,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-20.13,-4.2,-9.38,35.7,189262.11,22709000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.95124371858143,12.1508881586844
"1789",1842,9044,"Copsychus saularis","Muscicapidae","Passeriformes","AVIBASE-D112C938",17,3,13,1,15,23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,19.1,84,36,"Dunning",NA,"NO",NA,NA,"Woodland",1,1,"Carnivore","Invertivore","Terrestrial",-8.85,33.84,19.34,97.13,9009660.2,103893432,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3.58351893845611,16.0138079152218
"1790",1843,9043,"Copsychus sechellarum","Muscicapidae","Passeriformes","AVIBASE-4B41D53C",5,2,3,0,4,26.3,16.9,5.7,6.6,36.5,116.2,19,97.1,16.3,99.9,70.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Omnivore","Terrestrial",-4.59,-3.8,-4.23,55.75,5.13,22709978,4,1,1,1,0,0,0,1,0,0,1,0,1,0,4.25844557290253,1.63510565918268
"1791",1844,9166,"Cossypha dichroa","Muscicapidae","Passeriformes","AVIBASE-68C54292",5,2,3,0,4,19.3,10.9,4.3,5.2,30.2,97,16.5,80.2,17.1,82.6,45.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-34.21,-22.57,-29.05,29.36,253533.92,22709834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.82428409112014,12.4432528997682
"1792",1845,9167,"Cossypha heinrichi","Muscicapidae","Passeriformes","AVIBASE-B175F364",1,0,1,0,1,22.5,13.4,5.1,5.7,34,114,17.3,96.7,15.2,141,60.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Generalist",-8.95,-3.9,-4.39,15.99,6203.48,22709840,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4.09933210373314,8.73286570389127
"1793",1846,9214,"Cyanecula svecica","Muscicapidae","Passeriformes","AVIBASE-AFD6FD81",14,8,6,0,4,15.1,8.9,3.2,3.2,26.3,73.1,15.6,57.5,21.3,50,17.2,"Dunning",NA,"NO",NA,NA,"Grassland",2,3,"Carnivore","Invertivore","Generalist",31.76,71.22,58.14,79.97,19896158.85,22709707,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2.84490938381941,16.8060372484504
"1794",1847,9103,"Cyanoptila cumatilis","Muscicapidae","Passeriformes","AVIBASE-BC81D33B",0,0,0,0,0,14.6,8.1,4.7,4.2,14.7,90.5,27.6,62.9,30.6,59.2,22.5,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Cyanoptila cyanomelana","Forest",1,3,"Carnivore","Invertivore","Terrestrial",29.53,41.07,35.02,110.41,362758.58,103758091,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.11351530921037,12.8014928231201
"1795",1848,9129,"Cyornis banyumas","Muscicapidae","Passeriformes","AVIBASE-D97065FF",4,2,2,0,4,14.9,9.8,4.6,3.7,15.7,71.8,14.7,57,20.5,53,14.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-8.78,30.67,18.14,103.82,1769236.14,22735899,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.67414864942653,14.3860584520795
"1796",1849,9117,"Cyornis brunneatus","Muscicapidae","Passeriformes","AVIBASE-1AFE0391",5,2,3,0,4,16.2,10.3,4.7,4.3,16.2,77.8,19.1,57.9,24.8,58.8,18.1,"Updated_literature","BoW","NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Insessorial",22.92,31.84,26.7,114.79,595328.22,103761460,3,1,1,0,0,0,0,1,0,0,0,0,0,0,2.89591193827178,13.2968681626878
"1797",1850,9133,"Cyornis caerulatus","Muscicapidae","Passeriformes","AVIBASE-52C69037",5,2,2,1,4,15.3,10.4,4.9,4.6,17,71.6,14.5,57.1,20.1,52.5,17.8,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.95,7.04,0.21,108.67,963047.21,22709558,3,1,1,0,0,0,0,1,0,1,0,0,0,0,2.87919845729804,13.7778577134623
"1798",1851,9125,"Cyornis camarinensis","Muscicapidae","Passeriformes","AVIBASE-A9493977",0,0,0,0,0,15.7,10.2,5.2,4.8,19,75,12.8,62.2,17.1,59.8,19.6,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Cyornis herioti","Forest",1,1,"Carnivore","Invertivore","Insessorial",12.54,14.34,13.6,123.29,9248.34,103761646,3,1,1,0,0,1,0,1,0,0,0,0,1,0,2.97552956623647,9.13219935494224
"1799",1852,9121,"Cyornis colonus","Muscicapidae","Passeriformes","AVIBASE-99F7651D",2,1,1,0,2,15.4,10,4.3,4.2,18.4,73,14.4,58.6,19.6,65.5,23.1,"EltonTraits_Model",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-2.49,-0.9,-1.58,123.31,13551.2,22709166,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.13983261752775,9.51423038327217
"1800",1853,9141,"Cyornis djampeanus","Muscicapidae","Passeriformes","AVIBASE-F5569063",1,0,1,0,1,16.8,9.6,4.7,4,20.1,76,12.1,63.9,15.9,66,18.3,"DataFromSplit",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-7.33,-7,-7.17,120.79,271.89,103762270,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2.90690105984738,5.6053975727348
"1801",1854,9124,"Cyornis herioti","Muscicapidae","Passeriformes","AVIBASE-62BD5AD2",2,1,1,0,2,15.7,10.2,5.2,4.8,19,75,12.8,62.2,17.1,59.8,19.6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",13.52,18.62,16.44,121.16,57832.7,103761568,2,0,1,0,0,1,0,1,0,0,0,0,1,0,2.97552956623647,10.9653096386323
"1802",1855,9143,"Cyornis hoevelli","Muscicapidae","Passeriformes","AVIBASE-64C5A03E",4,2,2,0,4,17.8,10.7,6,4.7,19.4,86.4,19,67.3,21.9,65.8,20.5,"Inferred",NA,"YES","Body Mass","Niltava sumatrana","Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.87,-0.89,-2.3,120.08,17280.87,22709490,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.02042488614436,9.75735538831289
"1803",1856,9130,"Cyornis lemprieri","Muscicapidae","Passeriformes","AVIBASE-37C2CC2E",7,3,4,0,6,15.7,10.3,5,4.3,18.2,73.7,13.9,59.4,19,62,21.5,"Updated_literature","BoW","NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",7.8,12.33,9.86,118.64,10987.03,22709548,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.06805293513362,9.30447076519683
"1804",1857,9116,"Cyornis nicobaricus","Muscicapidae","Passeriformes","AVIBASE-383E7A61",1,0,1,0,1,17.1,11,4.8,4.8,16.6,79,17,62,21.5,60,18.1,"DataFromSplit",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Insessorial",6.75,7.45,7.07,93.79,1094.16,103761482,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2.89591193827178,6.9977422245733
"1805",1858,9123,"Cyornis ruckii","Muscicapidae","Passeriformes","AVIBASE-EAF7A5C6",4,1,3,0,0,16.8,9.9,5.3,4.2,18.5,77.2,14.9,68.4,17.9,59.9,20.5,"Inferred",NA,"YES","Beak Nares; Beak Width; Beak Depth; Kipp's Distance; Secondary1; Hand-Wing Index; Body Mass","Cyornis sanfordi","Forest",1,NA,"Carnivore","Invertivore","Insessorial",3.65,4.61,4.06,98.18,5572.81,22709502,5,1,1,0,0,0,0,1,0,0,0,0,0,0,3.02042488614436,8.62565469404022
"1806",1859,9144,"Cyornis sanfordi","Muscicapidae","Passeriformes","AVIBASE-A89B82E6",2,0,2,0,2,16.7,9.9,5.3,4.2,17.5,83.2,14.9,68.4,17.9,65.2,20.5,"Inferred",NA,"YES","Body Mass","Niltava sumatrana","Forest",1,1,"Carnivore","Invertivore","Insessorial",0.08,1.5,0.68,123.77,2049.13,22709482,4,1,1,0,1,0,0,1,0,0,0,0,1,0,3.02042488614436,7.62517059180953
"1807",1860,9138,"Cyornis turcosus","Muscicapidae","Passeriformes","AVIBASE-A35345E1",6,2,2,2,4,14.7,9.7,5,3.9,18.2,75.3,13.2,62,17.7,54.8,16.2,"Inferred",NA,"YES","Body Mass","Cyornis tickelliae","Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.95,7.04,0.98,112.09,836932.58,22709566,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2.78501124223834,13.6374987966455
"1808",1861,9119,"Cyornis umbratilis","Muscicapidae","Passeriformes","AVIBASE-F63B6317",5,2,3,0,4,17.1,11.8,5.7,4.4,16,76.2,15.4,60.9,20.2,61.4,18.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.17,7.1,0.75,108.44,1143162.84,22709156,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2.90142159408275,13.9493093998211
"1809",1862,9150,"Dessonornis anomalus","Muscicapidae","Passeriformes","AVIBASE-87286CEB",4,2,2,0,4,16.1,9,3.3,3.8,31.1,73.8,9.2,64.6,12.4,65.2,24.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-16.59,-14.76,-15.31,36.79,8084.35,103762448,2,0,0,0,1,1,0,0,0,1,0,0,0,0,3.19867311755068,8.99768537298461
"1810",1863,9322,"Emarginata schlegelii","Muscicapidae","Passeriformes","AVIBASE-EA459C8C",12,5,7,0,4,18.1,9.3,3.3,3.4,29.7,94.7,23.9,70,25.4,66.2,23.3,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Omnivore","Invertivore","Generalist",-34.01,-11.84,-26.81,19.41,1144740.06,22710359,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.14845336057165,13.9506881473631
"1811",1864,9323,"Emarginata sinuata","Muscicapidae","Passeriformes","AVIBASE-BF0859C5",8,4,4,0,4,15.2,9.6,3.1,3.5,27.6,77.2,14.9,62.3,19.3,49.6,18.1,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Omnivore","Invertivore","Insessorial",-34.84,-25.99,-29.89,22.77,793361.3,22710354,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.89591193827178,13.584034008459
"1812",1865,9324,"Emarginata tractrac","Muscicapidae","Passeriformes","AVIBASE-17DEACED",15,7,8,0,4,18.8,10.4,3.3,3.6,30.1,87.8,22.7,65.1,25.8,52.1,20.8,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-32.95,-11.34,-25.89,18.67,1018879.12,22710363,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.03495298670727,13.8342136790642
"1813",1866,9234,"Enicurus ruficapillus","Muscicapidae","Passeriformes","AVIBASE-A35795D6",5,2,3,0,4,22,14.7,4.2,4.6,26.4,88.8,21.2,66.3,24.1,72,28.2,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Aquatic predator","Terrestrial",-6.17,12.82,1.16,108.1,1105095.6,22710129,2,0,1,0,0,0,0,1,0,1,0,0,0,0,3.33932197794407,13.9154424050288
"1814",1867,9111,"Eumyias additus","Muscicapidae","Passeriformes","AVIBASE-4EA42529",1,1,0,0,1,13.7,7.9,4.7,3.9,18.8,79,16,63,20.3,64,22.5,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-3.79,-3.13,-3.44,126.51,4091.97,22709117,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.11351530921037,8.31678179566634
